dates,gr,gy,gc
1952-01-01,0.271269496,0.076842678,1.802142001
1952-04-01,-0.701969366,0.399174267,0.159039821
1952-07-01,0.175780573,2.890018081,3.125861284
1952-10-01,0.45009773,0.929427927,0.255013551
1953-01-01,0.293605086,0.551930099,0.382031505
1953-04-01,0.1210806,-0.783684134,-0.458061335
1953-07-01,0.304656877,-1.863528758,-1.010996281
1953-10-01,0.049511194,-0.826008004,0.020865705
1954-01-01,0.176439109,-0.16835569,1.012496931
1954-04-01,0.064805546,0.877764593,1.098677111
1954-07-01,-0.052209107,1.622265778,1.761250592
1954-10-01,-0.214105896,2.500837891,1.903218274
1955-01-01,-0.103670203,1.244925324,1.528054449
1955-04-01,-0.326715207,1.02275305,0.908552521
1955-07-01,-0.520938684,0.324411029,0.973472757
1955-10-01,-0.412585585,-0.657979133,-0.106858088
1956-01-01,-0.004260723,0.547498507,0.056375214
1956-04-01,-0.60436401,-0.382667275,-0.06706399
1956-07-01,0.242053783,1.346726617,1.083382019
1956-10-01,-0.605969683,0.379209283,0.434080842
1957-01-01,0.079795455,-0.509864227,-0.116305911
1957-04-01,0.189074894,0.631239353,0.443193004
1957-07-01,0.770005397,-1.426084323,-0.344497981
1957-10-01,-0.252938655,-2.95747809,-1.720374323
1958-01-01,0.15340001,0.39369076,0.562289835
1958-04-01,-0.370445795,2.010571925,1.369328228
1958-07-01,-0.055154329,1.928195161,0.966090743
1958-10-01,0.442335166,1.523812391,1.439807364
1959-01-01,0.534978308,1.858616856,1.162813892
1959-04-01,0.36381068,-0.287487253,0.6820625
1959-07-01,0.493788704,-0.032529977,-0.204508905
1959-10-01,0.661331273,1.54451393,0.272899302
1960-01-01,0.715031829,-0.82131518,0.972020792
1960-04-01,0.40542073,0.169687418,-0.719576804
1960-07-01,0.294046622,-1.642572967,-0.2217119
1960-10-01,0.359313428,0.308463139,-0.40142944
1961-01-01,0.356996632,1.36108939,1.154706405
1961-04-01,0.319506759,1.594968026,0.177878669
1961-07-01,0.262907775,1.783980648,1.832810437
1961-10-01,0.10121878,1.609497825,0.895243086
1962-01-01,0.515640648,0.532789542,0.853984597
1962-04-01,0.471778327,0.764924287,0.345544
1962-07-01,0.502210988,-0.23283165,0.843334903
1962-10-01,0.269422279,0.596647766,0.208521684
1963-01-01,0.552291896,0.683852168,0.506912349
1963-04-01,0.603795083,1.76411914,0.936571441
1963-07-01,0.01408816,0.231569215,0.40765329
1963-10-01,0.559630107,1.666369067,1.523198156
1964-01-01,0.654323157,0.683843348,1.354086933
1964-04-01,0.47040521,1.11989569,1.399742543
1964-07-01,0.422011958,-0.131237361,-0.154941509
1964-10-01,0.420425426,1.972936587,1.787444246
1965-01-01,0.511697632,0.850223103,0.691502306
1965-04-01,0.58109609,1.866884239,1.371730226
1965-07-01,0.282894876,1.94379096,2.438531675
1965-10-01,0.404168228,2.136117013,1.196889231
1966-01-01,0.335201995,0.060522083,-0.024464146
1966-04-01,0.184825273,0.558225301,0.850415549
1966-07-01,0.428092005,0.518828816,0.117509517
1966-10-01,0.886242245,0.550449624,0.243118677
1967-01-01,0.62108239,-0.312259557,0.98431589
1967-04-01,-0.039047626,0.44950822,0.018597355
1967-07-01,-0.033232534,0.298018064,0.157048379
1967-10-01,0.085853181,1.629478529,1.978983516
1968-01-01,0.211372818,1.318145319,1.17282975
1968-04-01,0.405183956,0.363899567,1.449196872
1968-07-01,-0.101651867,-0.083234701,-0.025195536
1968-10-01,0.370972594,1.104797493,0.65519844
1969-01-01,0.259236286,-0.103840858,0.236295737
1969-04-01,0.152178252,0.229661516,0.058226428
1969-07-01,0.473557974,-0.972651375,0.312834899
1969-10-01,0.436034998,-0.667446142,0.100083082
1970-01-01,0.42040489,-0.391712596,-0.081332318
1970-04-01,0.852779434,0.348908979,0.304548797
1970-07-01,0.269206268,-1.660566328,-0.85507126
1970-10-01,-0.169993398,2.121662817,1.343089537
1971-01-01,-0.345402053,-0.02938414,0.346112438
1971-04-01,0.049988112,0.265645954,0.240701256
1971-07-01,0.42192269,-0.332068871,1.078976983
1971-10-01,-0.455164888,0.693273297,0.183904928
1972-01-01,0.239446813,1.718053028,1.35989276
1972-04-01,-0.008206604,0.409623155,0.99933355
1972-07-01,-0.212058208,1.182897882,1.841860001
1972-10-01,0.069299281,1.930349866,1.294827518
1973-01-01,-0.102680184,0.566260038,-0.561678895
1973-04-01,-0.276230166,-1.042526085,-0.16395851
1973-07-01,0.106819173,0.438841557,-0.804610413
1973-10-01,0.005400961,-1.375513823,-1.41080128
1974-01-01,-0.430837227,-0.271400001,-0.149387742
1974-04-01,-0.852237332,-1.450032653,-0.071613906
1974-07-01,-0.851586312,-0.889575662,-1.972916658
1974-10-01,-0.407704445,-1.709214175,0.351146711
1975-01-01,-0.037015858,0.238898276,1.158200861
1975-04-01,-0.402256623,1.12880514,0.842520963
1975-07-01,-0.07750945,0.846405141,0.577886029
1975-10-01,0.356457624,1.746857533,1.501957271
1976-01-01,0.227710556,0.280961123,0.466110923
1976-04-01,0.00525892,0.063686738,0.565138749
1976-07-01,-0.489187941,0.276975276,0.846120985
1976-10-01,-0.427292932,0.741976166,0.734512876
1977-01-01,-0.244087481,1.455154677,0.072631805
1977-04-01,0.000320802,1.297917764,0.451907551
1977-07-01,-0.763712921,-0.442355063,1.048001875
1977-10-01,0.085540835,-0.109993877,0.130899555
1978-01-01,-0.29736431,3.360136372,1.683522788
1978-04-01,-0.064142893,0.543637581,-0.038057242
1978-07-01,-0.196997839,0.868509394,0.337037082
1978-10-01,0.335648595,-0.268575846,0.068557808
1979-01-01,-0.075054989,-0.314393122,-0.486019251
1979-04-01,0.181706786,0.283206355,0.511532846
1979-07-01,0.579053427,-0.266486693,-0.267697166
1979-10-01,0.880690841,-0.11078133,-0.567908163
1980-01-01,0.98646981,-2.473366655,-2.669232025
1980-04-01,0.195934458,-0.533199696,0.67667258
1980-07-01,-0.283871693,1.501552117,0.995864788
1980-10-01,0.802438181,1.594290823,-0.011756128
1981-01-01,1.6352621,-1.072926543,-0.321827308
1981-04-01,1.862752226,0.85181385,0.122928322
1981-07-01,2.049278919,-1.433593582,-1.024375873
1981-10-01,1.571257393,-1.861910031,0.437830834
1982-01-01,1.911845289,0.150642256,-0.000344369
1982-04-01,1.696233759,-0.674400888,0.376715257
1982-07-01,1.298640393,-0.263268267,1.433243078
1982-10-01,1.224748488,1.044286857,0.718953216
1983-01-01,1.288831333,1.989843972,1.755635639
1983-04-01,1.041878111,1.696808523,1.494886109
1983-07-01,1.530358103,1.777941478,1.294248012
1983-10-01,1.191622822,1.520104978,0.410641844
1984-01-01,1.440856062,1.459455102,1.13769796
1984-04-01,1.565128275,0.69289262,0.472376835
1984-07-01,1.835170081,0.513798707,0.983399244
1984-10-01,1.216107415,0.744381976,1.464735537
1985-01-01,1.403616853,0.638061149,0.675323158
1985-04-01,1.263003336,1.253630641,1.619582789
1985-07-01,1.220057699,0.445193671,-0.079146724
1985-10-01,1.296356249,0.436613837,0.37761854
1986-01-01,1.34724997,0.173841533,0.808234549
1986-04-01,1.125930447,0.666926224,1.467762565
1986-07-01,0.83652562,0.242856205,0.318245749
1986-10-01,0.699862056,0.389046172,-0.255551027
1987-01-01,0.694688137,0.78381418,1.06577689
1987-04-01,0.659995237,0.59589229,0.866652297
1987-07-01,0.71598176,1.456260324,-0.034897379
1987-10-01,0.684622165,0.243393399,1.479310222
1988-01-01,0.461642945,1.076347496,0.506698836
1988-04-01,0.363676081,0.339966562,0.640496338
1988-07-01,0.892457634,1.1004697,0.907424916
1988-10-01,0.895223951,0.730960403,0.182478994
1989-01-01,1.075034696,0.542432074,0.247851069
1989-04-01,1.375338482,0.510525539,0.735934761
1989-07-01,1.25019252,-0.025898942,0.210983084
1989-10-01,0.839181361,0.287029931,0.038158355
1990-01-01,0.825616472,0.152475907,0.094330312
1990-04-01,1.08504024,-0.164493084,0.164333252
1990-07-01,1.127931179,-1.185130294,-1.034214607
1990-10-01,0.77315966,-0.682645634,-0.590350093
1991-01-01,0.773876486,0.575052218,0.623727219
1991-04-01,0.610567744,0.260488213,0.253745023
1991-07-01,0.753890803,0.071011401,-0.326974874
1991-10-01,0.764306864,0.969150733,1.634038887
1992-01-01,0.372639345,0.853807264,0.451878659
1992-04-01,0.431867331,0.71505862,0.798011742
1992-07-01,0.084902882,0.731227117,0.878603387
1992-10-01,0.208007284,-0.085954028,0.129906456
1993-01-01,0.146117266,0.349433094,0.674436527
1993-04-01,0.1505703,0.212688418,0.843444024
1993-07-01,0.206339416,1.067892494,0.590909087
1993-10-01,0.287289631,0.728772714,0.900369973
1994-01-01,0.328440907,1.123467594,0.552430484
1994-04-01,0.425411696,0.314570559,0.491285587
1994-07-01,0.579909178,0.859823948,0.796097771
1994-10-01,0.778295857,0.212047905,0.106481125
1995-01-01,0.956102798,0.088881704,0.663848567
1995-04-01,0.908481057,0.589763126,0.644794349
1995-07-01,0.862283798,0.403026523,0.421376723
1995-10-01,0.835602766,0.533795423,0.705586747
1996-01-01,0.818579321,1.402721125,0.81857136
1996-04-01,0.927729916,0.608337657,0.318884886
1996-07-01,0.743091625,0.731255674,0.491603459
1996-10-01,0.649241191,0.178347608,0.583555115
1997-01-01,1.066717897,1.434838472,0.232510723
1997-04-01,0.826794609,0.978899841,1.427463025
1997-07-01,0.930505358,0.571326799,0.909213041
1997-10-01,1.130553299,0.773440932,0.781137884
1998-01-01,1.026369002,0.672223558,1.496391683
1998-04-01,0.822787611,0.969396672,1.013929951
1998-07-01,0.923565923,1.297538412,1.13550416
1998-10-01,0.737987723,0.558268899,0.645066109
1999-01-01,0.725463452,0.562878669,1.251396703
1999-04-01,0.759349066,1.022568261,0.82333801
1999-07-01,0.609257929,1.331699842,1.156463116
1999-10-01,0.597349489,-1.030403318,0.108198235
2000-01-01,0.758935835,1.495341249,0.619862099
2000-04-01,0.844536242,-0.216587191,0.635055181
2000-07-01,0.967676704,0.294662385,0.569298986
2000-10-01,0.845846627,-0.581341512,0.109025995
2001-01-01,0.605354748,0.326410956,-0.095456212
2001-04-01,0.52258967,-0.720396745,0.028423724
2001-07-01,0.479141859,-0.045391045,1.280842849
2001-10-01,0.163787864,0.577783093,-0.032702966
2002-01-01,0.081400695,0.361913405,0.255627913
2002-04-01,-0.050839844,0.100450333,0.3921511
2002-07-01,-0.168626754,-0.185812946,0.245320714
2002-10-01,-0.155209915,-0.188748592,-0.222654197
2003-01-01,-0.061195927,0.580055481,0.836809174
2003-04-01,-0.310505579,1.315347792,1.069912126
2003-07-01,-0.374705628,0.810179263,0.342235932
2003-10-01,-0.481025122,0.529067209,0.892065253
2004-01-01,-0.573738954,0.49486631,0.267064174
2004-04-01,-0.3623212,0.627545874,0.851195312
2004-07-01,-0.39981128,0.685646603,0.79536502
2004-10-01,-0.293681558,0.827365803,0.357516441
2005-01-01,-0.082221257,0.209194712,0.81988085
2005-04-01,-0.192669856,0.449854697,0.495365487
2005-07-01,0.021604124,0.212722607,-0.15710437
2005-10-01,0.251516751,1.086721434,0.834860957
2006-01-01,0.228231245,-0.03487598,0.223813357
2006-04-01,0.478828492,-0.170524503,0.319747183
2006-07-01,0.870605779,0.537737459,0.631348125
2006-10-01,0.278683662,-0.108962446,0.205524126
2007-01-01,0.552117585,0.331736402,-0.016096992
2007-04-01,0.63990077,0.260371317,0.350876607
2007-07-01,0.67070308,0.313681943,0.08071016
2007-10-01,0.478038626,-0.371852899,-0.081386179
2008-01-01,0.026716853,0.334984623,0.016507446
2008-04-01,-0.34305565,-0.826095034,-1.073165295
2008-07-01,0.130708365,-2.518287825,-1.208965239
2008-10-01,0.154026399,-1.178830831,-0.291733731
2009-01-01,0.218658997,-0.410967502,-0.72495682
2009-04-01,-0.076213163,0.081677698,0.401327778
2009-07-01,-0.275881176,0.80186621,-0.383476188
2009-10-01,-0.271811919,0.374831534,0.469368958
2010-01-01,-0.45987681,0.747972686,0.677805165
2010-04-01,-0.266047947,0.5166606,0.459450909
2010-07-01,-0.538867994,0.269130143,0.356440125
2010-10-01,-0.475526552,-0.296536476,0.322223598
2011-01-01,-0.626654717,0.480229637,-0.091231677
2011-04-01,-0.58793193,-0.253957673,0.072223781
2011-07-01,-0.113567845,0.883602955,-0.060821127
2011-10-01,-0.582835799,0.004632989,-0.111778783
2012-01-01,-0.394511455,0.226142686,-0.043724256
2012-04-01,-0.52493487,-0.101075047,-0.042415076
2012-07-01,-0.474728752,-0.132512941,0.149644541
2012-10-01,-0.374007432,0.711786008,0.378142521
